"Monster","Name","Description","Type","Tier","Comp%"
"Corrupted Hunllef","3, 2, 1 - Mage","Kill the Corrupted Hunllef without taking damage off prayer.","Perfection","Elite (4 pts)","24.6%"
"Corrupted Hunllef","Corrupted Gauntlet Veteran","Complete the Corrupted Gauntlet 5 times.","Kill Count","Elite (4 pts)","23.8%"
"Crystalline Hunllef","3, 2, 1 - Range","Kill the Crystalline Hunllef without taking damage off prayer.","Perfection","Elite (4 pts)","22.9%"
"Crystalline Hunllef","Wolf Puncher","Kill the Crystalline Hunllef without making more than one attuned weapon.","Restriction","Elite (4 pts)","13.1%"
"Crystalline Hunllef","Gauntlet Veteran","Complete the Gauntlet 5 times.","Kill Count","Elite (4 pts)","30.5%"
"Crystalline Hunllef","Egniol Diet","Kill the Crystalline Hunllef without making an egniol potion within the Gauntlet.","Restriction","Elite (4 pts)","10.9%"
"Crystalline Hunllef","Crystalline Warrior","Kill the Crystalline Hunllef with a full set of perfected armour equipped.","Restriction","Elite (4 pts)","13.3%"
"Dagannoth Prime","From One King to Another","Kill Prime using a Rune Thrownaxe special attack, bounced off Dagannoth Rex.","Mechanical","Elite (4 pts)","7.3%"
"Dagannoth Prime","Death to the Seer King","Kill Dagannoth Prime whilst under attack by Dagannoth Supreme and Dagannoth Rex.","Mechanical","Elite (4 pts)","9.7%"
"Dagannoth Rex","Death to the Warrior King","Kill Dagannoth Rex whilst under attack by Dagannoth Supreme and Dagannoth Prime.","Mechanical","Elite (4 pts)","11%"
"Dagannoth Rex","Toppling the Diarchy","Kill Dagannoth Rex and one other Dagannoth king at the exact same time.","Mechanical","Elite (4 pts)","5.3%"
"Dagannoth Supreme","Rapid Succession","Kill all three Dagannoth Kings within 9 seconds of the first one.","Mechanical","Elite (4 pts)","5.5%"
"Dagannoth Supreme","Death to the Archer King","Kill Dagannoth Supreme whilst under attack by Dagannoth Prime and Dagannoth Rex.","Mechanical","Elite (4 pts)","17%"
"Demonic Gorilla","Hitting Them Where It Hurts","Finish off a Demonic Gorilla with a demonbane weapon.","Restriction","Elite (4 pts)","31.6%"
"Demonic Gorilla","If Gorillas Could Fly","Kill a Demonic Gorilla.","Kill Count","Elite (4 pts)","46.9%"
"Doom of Mokhaiotl","Exposed Doom","Defeat the Doom of Mokhaiotl during its Melee charge phase.","Mechanical","Elite (4 pts)","11%"
"Doom of Mokhaiotl","Doom Crawler","Defeat the Doom of Mokhaiotl level 1 in less than 30 seconds.","Speed","Elite (4 pts)","2.7%"
"Doom of Mokhaiotl","Doom Adept","Defeat the Doom of Mokhaiotl at delve level 3.","Kill Count","Elite (4 pts)","12.3%"
"Duke Sucellus","Duke Sucellus Adept","Kill Duke Sucellus once.","Kill Count","Elite (4 pts)","19.2%"
"Duke Sucellus","Duke Sucellus Speed-Trialist","Kill Duke Sucellus in less than 1:00 minutes without a slayer task.","Speed","Elite (4 pts)","9%"
"Fortis Colosseum","I was here first!","Kill a Jaguar Warrior using a Claw-type weapon special attack.","Mechanical","Elite (4 pts)","6.1%"
"Fortis Colosseum","Furball","Complete Wave 4 without taking avoidable damage from a Manticore.","Perfection","Elite (4 pts)","11.9%"
"Fortis Colosseum","Denied","Complete Wave 7 without the Minotaur ever healing other enemies.","Mechanical","Elite (4 pts)","10.5%"
"Fragment of Seren","Fragment of Seren Speed-Trialist","Kill The Fragment of Seren in less than 4 minutes.","Speed","Elite (4 pts)","4%"
"Galvek","Galvek Speed-Trialist","Kill Galvek in less than 3 minutes.","Speed","Elite (4 pts)","4.2%"
"General Graardor","Ourg Freezer II","Kill General Graardor without him attacking any players.","Mechanical","Elite (4 pts)","12.4%"
"General Graardor","General Graardor Veteran","Kill General Graardor 100 times.","Kill Count","Elite (4 pts)","16.3%"
"Giant Mole","Hard Hitter","Kill the Giant Mole with 4 or fewer instances of damage.","Mechanical","Elite (4 pts)","19.4%"
"Glough","Glough Speed-Trialist","Kill Glough in less than 2 minutes and 30 seconds.","Speed","Elite (4 pts)","5%"
"Grotesque Guardians","Grotesque Guardians Speed-Trialist","Kill the Grotesque Guardians in less than 2 minutes.","Speed","Elite (4 pts)","17.3%"
"Grotesque Guardians","From Dusk...","Kill the Grotesque Guardians 10 times without leaving the instance.","Stamina","Elite (4 pts)","13.8%"
"Grotesque Guardians","Perfect Grotesque Guardians","Kill the Grotesque Guardians whilst completing the ""Don't look at the eclipse"", ""Prison Break"", ""Granite Footwork"", ""Heal no more"", ""Static Awareness"" and ""Done before dusk"" tasks.","Perfection","Elite (4 pts)","23.3%"
"Grotesque Guardians","Grotesque Guardians Veteran","Kill the Grotesque Guardians 50 times.","Kill Count","Elite (4 pts)","18.7%"
"Grotesque Guardians","Done before Dusk","Kill the Grotesque Guardians before Dusk uses his prison attack for a second time.","Mechanical","Elite (4 pts)","25.2%"
"Hespori","Plant-Based Diet","Kill Hespori without losing any prayer points.","Restriction","Elite (4 pts)","22.3%"
"Hespori","Hespori Speed-Trialist","Kill the Hespori in less than 48 seconds.","Speed","Elite (4 pts)","14.9%"
"K'ril Tsutsaroth","K'ril Tsutsaroth Veteran","Kill K'ril Tsutsaroth 100 times.","Kill Count","Elite (4 pts)","10.9%"
"K'ril Tsutsaroth","Demonic Defence","Kill K'ril Tsutsaroth in a private instance without taking any of his melee hits.","Perfection","Elite (4 pts)","8.4%"
"K'ril Tsutsaroth","The Bane of Demons","Defeat K'ril Tsutsaroth in a private instance using only demonbane spells.","Mechanical","Elite (4 pts)","5%"
"Kalphite Queen","Kalphite Queen Veteran","Kill the Kalphite Queen 50 times.","Kill Count","Elite (4 pts)","15.5%"
"Kalphite Queen","Prayer Smasher","Kill the Kalphite Queen using only the Verac's Flail as a weapon.","Restriction","Elite (4 pts)","11.3%"
"Kalphite Queen","Insect Deflection","Kill the Kalphite Queen by using the Vengeance spell as the finishing blow.","Mechanical","Elite (4 pts)","12.8%"
"Kraken","Ten-tacles","Kill the Kraken 50 times in a private instance without leaving the room.","Stamina","Elite (4 pts)","21.5%"
"Kree'arra","Kree'arra Veteran","Kill Kree'arra 100 times.","Kill Count","Elite (4 pts)","8.2%"
"Leviathan","Leviathan Adept","Kill the Leviathan once.","Kill Count","Elite (4 pts)","10.8%"
"Leviathan","Leviathan Speed-Trialist","Kill the Leviathan in less than 1:50 without a slayer task.","Speed","Elite (4 pts)","5.1%"
"Maggot King","Maggot Exterminator","Kill the Maggot King 25 times.","Kill Count","Elite (4 pts)","N/A"
"Maggot King","Trying to fit in","Kill the Maggot King using only weapons that can be found in Vampyrium.","Restriction","Elite (4 pts)","N/A"
"Moons of Peril","High Hitter","Defeat a Moon before they start their second special attack.","Mechanical","Elite (4 pts)","36.5%"
"Nex","Nex Veteran","Kill Nex once.","Kill Count","Elite (4 pts)","16.6%"
"Nex","Nex Survivors","Kill Nex without anyone dying.","Restriction","Elite (4 pts)","15.6%"
"Phantom Muspah","Phantom Muspah Veteran","Kill the Phantom Muspah 25 times.","Kill Count","Elite (4 pts)","16.6%"
"Phantom Muspah","Can't Escape","Kill the Phantom Muspah without running.","Restriction","Elite (4 pts)","9.4%"
"Phantom Muspah","Phantom Muspah Speed-Trialist","Kill the Phantom Muspah in less than 3 minutes without a slayer task.","Speed","Elite (4 pts)","14.1%"
"Phantom Muspah","Versatile Drainer","Drain the Phantom Muspah's Prayer with three different sources in one kill.","Mechanical","Elite (4 pts)","11.2%"
"Phosani's Nightmare","Phosani's Veteran","Kill Phosani's Nightmare once.","Kill Count","Elite (4 pts)","5.5%"
"Royal Titans","No time to pray","Kill the Royal Titans without losing any prayer points.","Restriction","Elite (4 pts)","10.5%"
"Scorpia","Scorpia Veteran","Kill Scorpia 25 times.","Kill Count","Elite (4 pts)","12.6%"
"Skotizo","Demon Evasion","Kill Skotizo without taking any damage.","Perfection","Elite (4 pts)","16.6%"
"Skotizo","Up for the Challenge","Kill Skotizo without equipping a demonbane weapon.","Restriction","Elite (4 pts)","21.3%"
"The Hueycoatl","Hueycoatl Speed-Trialist","Kill the Hueycoatl in 2:30","Speed","Elite (4 pts)","21.1%"
"The Hueycoatl","Perfect Hueycoatl","Kill the Hueycoatl perfectly 5 times without leaving. To get a perfect kill, you must not take any avoidable damage from the Hueycoatl's lightning attack, tail slam attack or off-prayer projectile attacks.","Perfection","Elite (4 pts)","10.5%"
"The Hueycoatl","Hueycoatl Veteran","Kill the Hueycoatl 25 times.","Kill Count","Elite (4 pts)","18.6%"
"The Mimic","Mimic Veteran","Kill the Mimic once.","Kill Count","Elite (4 pts)","18.5%"
"The Nightmare","Nightmare Veteran","Kill The Nightmare 25 times.","Kill Count","Elite (4 pts)","6.6%"
"The Nightmare","Explosion!","Kill two Husks at the same time.","Mechanical","Elite (4 pts)","3.6%"
"The Nightmare","Sleep Tight","Kill the Nightmare solo.","Restriction","Elite (4 pts)","3.2%"
"The Nightmare","Nightmare (Solo) Speed-Trialist","Defeat the Nightmare (Solo) in less than 23 minutes.","Speed","Elite (4 pts)","3%"
"The Nightmare","Nightmare (5-Scale) Speed-Trialist","Defeat the Nightmare (5-scale) in less than 5 minutes.","Speed","Elite (4 pts)","4.6%"
"Theatre of Blood","Theatre of Blood Veteran","Complete the Theatre of Blood 25 times.","Kill Count","Elite (4 pts)","7.3%"
"Theatre of Blood: Entry Mode","No-Pillar","Survive Verzik Vitur's pillar phase in the Theatre of Blood: Entry Mode without losing a single pillar.","Mechanical","Elite (4 pts)","31.7%"
"Theatre of Blood: Entry Mode","Attack, Step, Wait","Survive Verzik Vitur's second phase in the Theatre of Blood: Entry Mode without anyone getting bounced by Verzik.","Mechanical","Elite (4 pts)","12.1%"
"Theatre of Blood: Entry Mode","Chally Time","Defeat the Pestilent Bloat in the Theatre of Blood: Entry Mode by using a halberd special attack as your final attack.","Mechanical","Elite (4 pts)","9.8%"
"Theatre of Blood: Entry Mode","They Won't Expect This","In the Theatre of Blood: Entry Mode, enter the Pestilent Bloat room from the opposite side.","Mechanical","Elite (4 pts)","13.9%"
"Theatre of Blood: Entry Mode","Anticoagulants","Defeat the Maiden of Sugadinti in the Theatre of Blood: Entry Mode without letting any bloodspawn live for longer than 10 seconds.","Mechanical","Elite (4 pts)","22.1%"
"Theatre of Blood: Entry Mode","Nylocas, On the Rocks","In the Theatre of Blood: Entry Mode, freeze any 4 Nylocas with a single Ice Barrage spell.","Mechanical","Elite (4 pts)","9%"
"Theatre of Blood: Entry Mode","Pass It On","In the Theatre of Blood: Entry Mode, successfully pass on the green ball to a team mate.","Mechanical","Elite (4 pts)","7.7%"
"Theatre of Blood: Entry Mode","Don't Look at Me!","Kill Xarpus in the Theatre of Blood: Entry Mode without him reflecting any damage to anyone.","Mechanical","Elite (4 pts)","19.7%"
"Theatre of Blood: Entry Mode","Appropriate Tools","Defeat the Pestilent Bloat in the Theatre of Blood: Entry Mode with everyone having a salve amulet equipped.","Mechanical","Elite (4 pts)","20.7%"
"Theatre of Blood: Entry Mode","Just To Be Safe","Defeat Sotetseg in the Theatre of Blood: Entry Mode after having split the big ball with your entire team. This must be done with a group size of at least 2.","Mechanical","Elite (4 pts)","15.4%"
"Thermonuclear Smoke Devil","Hazard Prevention","Kill the Thermonuclear Smoke Devil without it hitting anyone.","Perfection","Elite (4 pts)","13%"
"Thermonuclear Smoke Devil","Spec'd Out","Kill the Thermonuclear Smoke Devil using only special attacks.","Restriction","Elite (4 pts)","12.1%"
"Thermonuclear Smoke Devil","Thermonuclear Veteran","Kill the Thermonuclear Smoke Devil 20 times.","Kill Count","Elite (4 pts)","19.7%"
"Tombs of Amascut","Hardcore Tombs","Complete the Tombs of Amascut solo without dying.","Perfection","Elite (4 pts)","21.1%"
"Tombs of Amascut","Hardcore Raiders","Complete the Tombs of Amascut in a group of two or more without anyone dying.","Perfection","Elite (4 pts)","22.8%"
"Tombs of Amascut","Perfect Crondis","Complete the Crondis room without letting a crocodile get to the tree, without anyone losing water from their container and in under one minute.","Perfection","Elite (4 pts)","24.9%"
"Tombs of Amascut","Dropped the ball","Defeat Akkha without dropping any materialising orbs and without dying yourself.","Mechanical","Elite (4 pts)","25.4%"
"Tombs of Amascut","Helpful spirit who?","Complete the Tombs of Amascut without using any supplies from the Helpful Spirit and without anyone dying. Honey locusts are included in this restriction.","Restriction","Elite (4 pts)","4.9%"
"Tombs of Amascut","Tomb Explorer","Complete the Tombs of Amascut once.","Kill Count","Elite (4 pts)","32.1%"
"Tombs of Amascut","Down Do Specs","Defeat the Wardens after staggering the boss a maximum of twice during phase two, without dying yourself.","Mechanical","Elite (4 pts)","15.4%"
"Tombs of Amascut","No skipping allowed","Defeat Ba-Ba after only attacking the non-weakened boulders in the rolling boulder phase, without dying yourself. The Boulderdash invocation must be activated.","Mechanical","Elite (4 pts)","5.9%"
"Tombs of Amascut","I'm in a rush","Defeat Ba-Ba after destroying four or fewer rolling boulders in total without dying yourself.","Mechanical","Elite (4 pts)","17.6%"
"Tombs of Amascut","Perfect Het","Complete the Het room without taking any damage from the light beam and orbs. You must destroy the core after one exposure.","Perfection","Elite (4 pts)","23.1%"
"Tombs of Amascut","Perfect Apmeken","Complete the Apmeken room in a group of two or more, without anyone allowing any dangers to trigger, standing in venom or being hit by a volatile baboon. You must complete this room in less than three minutes.","Perfection","Elite (4 pts)","19.5%"
"Tombs of Amascut: Entry Mode","Novice Tomb Raider","Complete the Tombs of Amascut in Entry mode (or above) 50 times.","Kill Count","Elite (4 pts)","15.3%"
"Tombs of Amascut: Expert Mode","Expert Tomb Explorer","Complete the Tombs of Amascut (Expert mode) once.","Kill Count","Elite (4 pts)","21.2%"
"Tormented Demon","Two Times the Torment","Kill two Tormented Demons within 2 seconds.","Restriction","Elite (4 pts)","3.6%"
"Tormented Demon","Unending Torment","Kill a Tormented Demon.","Kill Count","Elite (4 pts)","28.3%"
"Tormented Demon","Through Fire and Flames","Kill a Tormented Demon whilst their shield is inactive.","Restriction","Elite (4 pts)","27.4%"
"Tormented Demon","Rapid Reload","Hit three Tormented Demons within 3 seconds using a ballista or a crossbow.","Mechanical","Elite (4 pts)","4.5%"
"TzHaar-Ket-Rak's Challenges","Facing Jad Head-on III","Complete TzHaar-Ket-Rak's second challenge with only melee.","Restriction","Elite (4 pts)","5.6%"
"TzHaar-Ket-Rak's Challenges","The II Jad Challenge","Complete TzHaar-Ket-Rak's second challenge.","Kill Count","Elite (4 pts)","9.3%"
"TzHaar-Ket-Rak's Challenges","TzHaar-Ket-Rak's Speed-Trialist","Complete TzHaar-Ket-Rak's first challenge in less than 45 seconds.","Speed","Elite (4 pts)","4.3%"
"TzKal-Zuk","Half-Way There","Kill a Jal-Zek within the Inferno.","Kill Count","Elite (4 pts)","14.8%"
"TzTok-Jad","Facing Jad Head-on","Complete the Fight Caves with only melee.","Restriction","Elite (4 pts)","8.3%"
"TzTok-Jad","A Near Miss!","Complete the Fight Caves after surviving a hit from TzTok-Jad without praying.","Mechanical","Elite (4 pts)","28.9%"
"TzTok-Jad","Fight Caves Veteran","Complete the Fight Caves once.","Kill Count","Elite (4 pts)","60.9%"
"Vardorvis","Vardorvis Speed-Trialist","Kill Vardorvis in less than 1:15 minutes without a slayer task.","Speed","Elite (4 pts)","9%"
"Vardorvis","Vardorvis Adept","Kill Vardorvis once.","Kill Count","Elite (4 pts)","16%"
"Venenatis","Venenatis Veteran","Kill Venenatis 20 times.","Kill Count","Elite (4 pts)","17.7%"
"Vet'ion","Vet'eran","Kill Vet'ion 20 times.","Kill Count","Elite (4 pts)","23.3%"
"Vorkath","Stick 'em With the Pointy End","Kill Vorkath using melee weapons only.","Restriction","Elite (4 pts)","17.6%"
"Vorkath","Vorkath Veteran","Kill Vorkath 50 times.","Kill Count","Elite (4 pts)","34.9%"
"Vorkath","Zombie Destroyer","Kill Vorkath's zombified spawn without using crumble undead.","Restriction","Elite (4 pts)","15%"
"Whisperer","Tentacular","Kill the Whisperer whilst only being on the Arceuus spellbook.","Restriction","Elite (4 pts)","6.3%"
"Whisperer","Whisperer Adept","Kill the Whisperer once.","Kill Count","Elite (4 pts)","10%"
"Whisperer","Whisperer Speed-Trialist","Kill the Whisperer in less than 3:00 without a slayer task.","Speed","Elite (4 pts)","5.5%"
"Yama","Back so soon?","Defeat Yama without the judge being attacked with the wrong style and without taking more than one instance of damage each time you are exiled from the arena.","Mechanical","Elite (4 pts)","11.7%"
"Yama","Yama Adept","Defeat Yama once.","Kill Count","Elite (4 pts)","12.7%"
"Yama","Yama Speed-Trialist","Defeat Yama in an average time of under 3:38 over your last four kills.","Speed","Elite (4 pts)","8.5%"
"Zalcano","Perfect Zalcano","Kill Zalcano 5 times in a row without leaving or getting hit by the following: Falling rocks, rock explosions, Zalcano powering up, or standing in a red symbol.","Perfection","Elite (4 pts)","11.9%"
"Zalcano","Zalcano Veteran","Kill Zalcano 25 times.","Kill Count","Elite (4 pts)","18.8%"
"Zalcano","The Spurned Hero","Kill Zalcano as the player who has dealt the most damage to her.","Mechanical","Elite (4 pts)","19.2%"
"Zalcano","Team Player","Receive imbued tephra from a golem.","Mechanical","Elite (4 pts)","16.9%"
"Zulrah","Zulrah Speed-Trialist","Kill Zulrah in less than 1 minute 20 seconds, without a slayer task.","Speed","Elite (4 pts)","20.4%"
"Zulrah","Snake Rebound","Kill Zulrah by using the Vengeance spell as the finishing blow.","Mechanical","Elite (4 pts)","13%"
"Zulrah","Zulrah Veteran","Kill Zulrah 75 times.","Kill Count","Elite (4 pts)","25%"
"Zulrah","Snake. Snake!? Snaaaaaake!","Kill 3 Snakelings simultaneously.","Mechanical","Elite (4 pts)","24%"
"Alchemical Hydra","The Flame Skipper","Kill the Alchemical Hydra without letting it spawn a flame wall attack.","Mechanical","Master (5 pts)","12.8%"
"Alchemical Hydra","Don't Flame Me","Kill the Alchemical Hydra without being hit by the flame wall attack.","Mechanical","Master (5 pts)","15.7%"
"Alchemical Hydra","Unrequired Antipoisons","Kill the Alchemical Hydra without being hit by the acid pool attack.","Mechanical","Master (5 pts)","15.4%"
"Alchemical Hydra","Lightning Lure","Kill the Alchemical Hydra without being hit by the lightning attack.","Mechanical","Master (5 pts)","15.6%"
"Alchemical Hydra","Alchemical Master","Kill the Alchemical Hydra 150 times.","Kill Count","Master (5 pts)","14.8%"
"Alchemical Hydra","Working Overtime","Kill the Alchemical Hydra 15 times without leaving the room.","Stamina","Master (5 pts)","10.6%"
"Alchemical Hydra","Alchemical Speed-Chaser","Kill the Alchemical Hydra in less than 1 minute 45 seconds.","Speed","Master (5 pts)","9.4%"
"Alchemical Hydra","Alcleanical Hydra","Kill the Alchemical Hydra without taking any damage.","Perfection","Master (5 pts)","14.8%"
"Alchemical Hydra","Mixing Correctly","Kill the Alchemical Hydra without empowering it.","Mechanical","Master (5 pts)","15%"
"Araxxor","Araxxor Master","Kill Araxxor 75 times.","Kill Count","Master (5 pts)","14.5%"
"Araxxor","Perfect Araxxor","Kill Araxxor perfectly, without taking damage from Araxxor's Mage & Range attacks, melee attack off prayer, araxyte minions damage, or damage from acid pools.","Perfection","Master (5 pts)","11.2%"
"Araxxor","Araxxor Speed-Chaser","Kill Araxxor 5 times in 10:00.","Speed","Master (5 pts)","11.2%"
"Araxxor","Arachnid Lover","Kill Araxxor 10 times without leaving.","Stamina","Master (5 pts)","8.7%"
"Araxxor","Araxyte Betrayal","Have an Araxyte kill three other Araxytes.","Mechanical","Master (5 pts)","7.2%"
"Araxxor","Let it seep in","Kill Araxxor without ever having venom or poison immunity.","Restriction","Master (5 pts)","10.3%"
"Cerberus","Arooo No More","Kill Cerberus without any of the Summoned Souls being spawned.","Mechanical","Master (5 pts)","20.7%"
"Cerberus","Cerberus Master","Kill Cerberus 150 times.","Kill Count","Master (5 pts)","18.4%"
"Chambers of Xeric","Perfect Olm (Trio)","Kill the Great Olm in a trio raid without any team member taking damage from any of the following: Teleport portals, Fire Walls, Healing pools, Crystal Bombs, Crystal Burst or Prayer Orbs. You also cannot let his claws regenerate or take damage from the same acid pool back to back.","Perfection","Master (5 pts)","2.4%"
"Chambers of Xeric","Perfect Olm (Solo)","Kill the Great Olm in a solo raid without taking damage from any of the following: Teleport portals, Fire Walls, Healing pools, Crystal Bombs, Crystal Burst or Prayer Orbs. You also cannot let his claws regenerate or take damage from the same acid pool back to back.","Perfection","Master (5 pts)","3.7%"
"Chambers of Xeric","Blind Spot","Kill Tekton without taking any damage.","Perfection","Master (5 pts)","13.4%"
"Chambers of Xeric","No Time for Death","Clear the Tightrope room without Killing any Deathly Mages or Deathly Rangers.","Mechanical","Master (5 pts)","10.9%"
"Chambers of Xeric","Undying Raider","Complete a Chambers of Xeric solo raid without dying.","Perfection","Master (5 pts)","5.9%"
"Chambers of Xeric","Chambers of Xeric (5-Scale) Speed-Chaser","Complete a Chambers of Xeric (5-scale) in less than 15 minutes.","Speed","Master (5 pts)","2.2%"
"Chambers of Xeric","Chambers of Xeric (Trio) Speed-Chaser","Complete a Chambers of Xeric (Trio) in less than 16 minutes and 30 seconds.","Speed","Master (5 pts)","2.9%"
"Chambers of Xeric","Chambers of Xeric (Solo) Speed-Chaser","Complete a Chambers of Xeric (Solo) in less than 21 minutes.","Speed","Master (5 pts)","2.5%"
"Chambers of Xeric","Playing with Lasers","Clear the Crystal Crabs room without wasting an orb after the first crystal has been activated.","Perfection","Master (5 pts)","20.7%"
"Chambers of Xeric","Putting It Olm on the Line","Complete a Chambers of Xeric solo raid with more than 40,000 points.","Mechanical","Master (5 pts)","3.2%"
"Chambers of Xeric","A Not So Special Lizard","Kill the Great Olm in a solo raid without letting him use any of the following special attacks in his second to last phase: Crystal Burst, Lightning Walls, Teleportation Portals or left-hand autohealing.","Mechanical","Master (5 pts)","3.9%"
"Chambers of Xeric","Anvil No More","Kill Tekton before he returns to his anvil for a second time after the fight begins.","Mechanical","Master (5 pts)","23.5%"
"Chambers of Xeric","Stop Drop and Roll","Kill Vasa Nistirio before he performs his teleport attack for the second time.","Mechanical","Master (5 pts)","16.3%"
"Chambers of Xeric","Chambers of Xeric Master","Complete the Chambers of Xeric 75 times.","Kill Count","Master (5 pts)","12.4%"
"Chambers of Xeric: Challenge Mode","Chambers of Xeric: CM (Trio) Speed-Chaser","Complete a Chambers of Xeric: Challenge Mode (Trio) in less than 35 minutes.","Speed","Master (5 pts)","5.5%"
"Chambers of Xeric: Challenge Mode","Chambers of Xeric: CM (Solo) Speed-Chaser","Complete a Chambers of Xeric: Challenge Mode (Solo) in less than 45 minutes.","Speed","Master (5 pts)","1.9%"
"Chambers of Xeric: Challenge Mode","Chambers of Xeric: CM (5-Scale) Speed-Chaser","Complete a Chambers of Xeric: Challenge Mode (5-scale) in less than 30 minutes.","Speed","Master (5 pts)","2.7%"
"Chambers of Xeric: Challenge Mode","Immortal Raider","Complete a Chambers of Xeric Challenge mode (Solo) raid without dying.","Perfection","Master (5 pts)","2.6%"
"Chambers of Xeric: Challenge Mode","Chambers of Xeric: CM Master","Complete the Chambers of Xeric: Challenge Mode 10 times.","Kill Count","Master (5 pts)","6.9%"
"Chambers of Xeric: Challenge Mode","Immortal Raid Team","Complete a Chambers of Xeric: Challenge mode raid without anyone dying.","Perfection","Master (5 pts)","8%"
"Commander Zilyana","Moving Collateral","Kill Commander Zilyana in a private instance without attacking her directly.","Restriction","Master (5 pts)","3.6%"
"Corporeal Beast","Corporeal Beast Master","Kill the Corporeal Beast 50 times.","Kill Count","Master (5 pts)","7.8%"
"Corrupted Hunllef","Corrupted Warrior","Kill the Corrupted Hunllef with a full set of perfected corrupted armour equipped.","Restriction","Master (5 pts)","7.7%"
"Corrupted Hunllef","Defence Doesn't Matter II","Kill the Corrupted Hunllef without making any armour within the Corrupted Gauntlet.","Restriction","Master (5 pts)","5.8%"
"Corrupted Hunllef","Corrupted Gauntlet Master","Complete the Corrupted Gauntlet 10 times.","Kill Count","Master (5 pts)","22.3%"
"Corrupted Hunllef","Perfect Corrupted Hunllef","Kill the Corrupted Hunllef without taking damage from: Tornadoes, Damaging Floor or Stomp Attacks. Also, do not take damage off prayer and do not attack the Corrupted Hunllef with the wrong weapon.","Perfection","Master (5 pts)","18.9%"
"Corrupted Hunllef","Corrupted Gauntlet Speed-Chaser","Complete a Corrupted Gauntlet in less than 7 minutes and 5 seconds.","Speed","Master (5 pts)","4.9%"
"Crystalline Hunllef","Gauntlet Speed-Chaser","Complete the Gauntlet in less than 4 minutes and 45 seconds.","Speed","Master (5 pts)","3.3%"
"Crystalline Hunllef","Perfect Crystalline Hunllef","Kill the Crystalline Hunllef without taking damage from: Tornadoes, Damaging Floor or Stomp Attacks. Also, do not take damage off prayer and do not attack the Crystalline Hunllef with the wrong weapon.","Perfection","Master (5 pts)","13%"
"Crystalline Hunllef","Gauntlet Master","Complete the Gauntlet 20 times.","Kill Count","Master (5 pts)","25.3%"
"Crystalline Hunllef","Defence Doesn't Matter","Kill the Crystalline Hunllef without making any armour within the Gauntlet.","Restriction","Master (5 pts)","12.7%"
"Doom of Mokhaiotl","Mine's Better","Defeat the Doom of Mokhaiotl levels 1-8 whilst always wearing a shield.","Restriction","Master (5 pts)","0.9%"
"Doom of Mokhaiotl","Mokhaiotl Drift","Defeat the Doom of Mokhaiotl at level 8 or above before he finishes the first burrow phase.","Mechanical","Master (5 pts)","2.9%"
"Doom of Mokhaiotl","Doom Chaser","Defeat the Doom of Mokhaiotl levels 1-8 in less than 10:00.","Speed","Master (5 pts)","2.5%"
"Doom of Mokhaiotl","Grub Patrol","Defeat the Doom of Mokhaiotl levels 1-8 without ever letting a grub be absorbed.","Mechanical","Master (5 pts)","3.1%"
"Doom of Mokhaiotl","Doom Veteran","Defeat the Doom of Mokhaiotl at delve level 8.","Kill Count","Master (5 pts)","5.2%"
"Duke Sucellus","Duke Sucellus Speed-Chaser","Kill Duke Sucellus in less than 50 seconds without a slayer task.","Speed","Master (5 pts)","6.8%"
"Duke Sucellus","Duke Sucellus Master","Kill Duke Sucellus 50 times.","Kill Count","Master (5 pts)","13.1%"
"Duke Sucellus","Perfect Duke Sucellus","Kill Duke Sucellus without taking any avoidable damage 5 times without leaving.","Perfection","Master (5 pts)","10.2%"
"Duke Sucellus","Cold Feet","Kill Duke Sucellus without taking any avoidable damage, whilst also never running.","Restriction","Master (5 pts)","4.6%"
"Fortis Colosseum","Showboating","Defeat Sol Heredit after using Fortis Salute to the north, east, south and west of the arena while he is below 10% hitpoints.","Mechanical","Master (5 pts)","1.2%"
"Fortis Colosseum","I Brought Mine Too","Defeat Sol Heredit using only a Spear, Hasta or Halberd.","Restriction","Master (5 pts)","2.2%"
"Fortis Colosseum","Sportsmanship","Defeat Sol Heredit once.","Kill Count","Master (5 pts)","9.5%"
"Fortis Colosseum","Colosseum Speed-Chaser","Complete the Colosseum with a total time of 28:00 or less.","Speed","Master (5 pts)","2.8%"
"Fortis Colosseum","One-off","Complete Wave 11 with either 'Red Flag', 'Dynamic Duo', or 'Doom II' active.","Mechanical","Master (5 pts)","6%"
"Grotesque Guardians","... 'til Dawn","Kill the Grotesque Guardians 20 times without leaving the instance.","Stamina","Master (5 pts)","8.1%"
"Grotesque Guardians","Perfect Grotesque Guardians II","Kill the Grotesque Guardians 5 times in a row without leaving the instance, whilst completing the Perfect Grotesque Guardians task every time.","Perfection","Master (5 pts)","11.3%"
"Grotesque Guardians","Grotesque Guardians Speed-Chaser","Kill the Grotesque Guardians in less than 1:40 minutes.","Speed","Master (5 pts)","11.6%"
"Hespori","Hespori Speed-Chaser","Kill the Hespori in less than 36 seconds.","Speed","Master (5 pts)","6%"
"Kraken","One Hundred Tentacles","Kill the Kraken 100 times in a private instance without leaving the room.","Stamina","Master (5 pts)","16.7%"
"Kree'arra","Collateral Damage","Kill Kree'arra in a private instance without ever attacking him directly.","Mechanical","Master (5 pts)","3.6%"
